fips,PST045212,PST045211,PST040210,PST120212,PST120211,POP010210,AGE135211,AGE295211,AGE775211,SEX255211,RHI125211,RHI225211,RHI325211,RHI425211,RHI525211,RHI625211,RHI725211,RHI825211,POP715211,POP645211,POP815211,EDU635211,EDU685211,VET605211,LFE305211,HSG010211,HSG445211,HSG096211,HSG495211,HSD410211,HSD310211,INC910211,INC110211,PVY020211,BZA010210,BZA110210,BZA115210,NES010210,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030211,LND110210,POP060210
13027,0,15889,16243,0.0,-2.2,16243,6.6,23.5,16.6,51.2,62.7,35.3,0.3,0.4,0.1,1.2,5.2,58.1,86.5,3.3,7.0,79.1,13.9,1267,21.7,7738,72.2,6.4,96300,6330,2.52,22812,40186,20.3,199,1995,-16.5,743,940,0.0,0.0,0.0,0.0,0.0,0.0,0,65887,88152,5394,0,24,493.05,32.9
13029,0,31377,30238,0.0,3.8,30233,7.3,29.0,9.2,50.6,80.0,15.2,0.4,1.8,0.1,2.5,5.2,75.9,82.6,3.8,5.2,87.8,29.0,3770,28.8,11961,73.7,7.7,182200,10705,2.78,28911,64651,11.8,584,5469,73.5,2172,2749,0.0,0.0,0.0,0.0,0.0,30.6,0,154440,224984,7479,34786,434,435.97,69.3
13031,0,72881,70217,0.0,3.8,70217,5.6,19.7,9.1,50.0,67.2,29.3,0.4,1.5,0.1,1.6,3.7,64.3,77.2,3.7,5.3,85.8,26.3,4611,21.4,28967,54.4,27.1,140100,24826,2.57,17918,33902,30.5,1377,16511,0.2,4090,6025,0.0,0.0,0.0,0.0,0.0,22.2,523827,0,733425,11044,95340,526,672.81,104.4
13033,0,23504,23316,0.0,0.8,23316,7.3,27.4,12.0,51.8,48.3,49.7,0.2,0.4,0.1,1.3,2.9,46.2,91.8,0.8,1.6,76.5,9.1,1582,28.7,9928,71.5,9.2,78900,7745,2.96,15690,32188,28.6,303,4838,-10.1,1679,1797,28.3,0.0,0.0,0.0,0.0,36.2,0,0,177473,7776,11108,23,826.97,28.2
13035,0,23504,23655,0.0,-0.6,23655,6.0,22.2,13.2,47.3,70.4,27.5,0.3,0.5,0.0,1.3,2.8,68.1,84.7,2.3,3.3,76.3,8.1,1587,30.1,9337,76.8,7.3,140400,7931,2.73,21130,49339,12.3,351,3787,-11.9,1516,1731,0.0,0.0,0.0,0.0,0.0,21.0,287017,465389,295450,12496,17970,5,184.39,128.3
13037,0,6740,6694,0.0,0.7,6694,5.4,19.5,14.0,41.4,37.2,60.9,0.3,0.4,0.3,0.8,4.1,34.4,77.2,5.1,8.0,66.0,9.3,400,17.0,2411,71.9,10.2,60100,1782,2.34,13428,32986,35.8,79,629,-12.5,319,428,0.0,0.0,0.0,0.0,0.0,0.0,0,16497,19557,3266,946,1,280.37,23.9
13039,0,50410,50513,0.0,-0.2,50513,7.7,26.2,9.7,49.3,75.2,19.8,0.5,1.5,0.2,2.8,5.4,70.9,81.5,1.6,4.9,89.3,20.3,6645,21.8,21616,69.3,14.6,163000,18015,2.69,22228,51061,16.2,823,8572,6.2,2249,3332,0.0,0.0,0.0,0.0,0.0,33.0,0,0,648346,13688,71770,90,613.03,82.4
13043,0,11276,10998,0.0,2.5,10998,7.1,25.6,14.6,50.7,72.5,25.7,0.1,0.6,0.1,0.9,11.1,62.0,82.3,6.3,11.5,78.2,15.4,704,20.7,4851,67.0,7.6,79400,3711,2.83,16962,37315,19.0,222,2122,-9.8,771,1085,0.0,0.0,0.0,0.0,0.0,24.0,0,24255,114511,10977,14749,3,243.04,45.3
13045,0,111159,110527,0.0,0.6,110527,7.0,25.1,11.3,51.2,78.0,18.7,0.5,0.9,0.1,1.9,6.4,72.5,79.5,4.8,7.6,79.7,18.4,7508,28.7,44374,68.2,13.1,136100,39473,2.71,20739,45752,18.1,1981,29435,6.1,7952,9582,8.3,0.0,0.0,0.0,1.3,25.7,3175562,985854,1252468,11190,142419,204,499.08,221.5
13047,0,64530,63942,0.0,0.9,63942,6.1,24.5,13.6,51.4,93.8,2.8,0.4,1.3,0.1,1.5,2.5,91.8,86.4,2.0,3.1,82.7,17.8,5081,22.6,26689,74.6,12.5,133100,24143,2.61,22368,46549,12.2,925,12250,13.3,4080,4789,0.0,0.0,3.1,0.0,0.0,28.5,562058,151178,795089,12730,76458,84,162.16,394.3
13049,0,13422,12171,0.0,10.3,12171,5.4,19.4,12.0,39.6,65.3,32.2,0.4,0.7,0.0,1.5,3.5,62.3,77.1,6.5,7.6,65.5,8.7,1273,29.9,4518,78.8,3.5,84900,3739,3.01,17623,42307,15.0,149,1611,0.6,466,763,0.0,0.0,0.0,0.0,0.0,21.4,0,45988,68423,6460,9831,9,773.58,15.7
13051,0,271544,265128,0.0,2.4,265128,7.0,22.5,12.5,51.6,54.9,40.2,0.4,2.5,0.1,1.9,5.7,50.4,86.2,6.4,7.8,88.0,29.6,24609,20.8,120476,58.7,27.7,176400,100658,2.52,25394,45985,18.1,7099,113589,6.0,18047,23990,23.5,0.0,4.4,0.0,1.1,33.0,0,3780143,4004232,16107,872885,1057,426.44,621.7
13053,0,11749,11267,0.0,4.3,11267,9.3,26.1,3.7,37.0,72.3,19.7,1.2,2.4,0.7,3.7,14.0,61.2,49.0,5.6,13.6,93.6,28.4,713,14.7,3374,31.4,39.5,88300,2544,3.38,21648,49969,10.9,67,627,-53.5,284,341,36.4,0.0,0.0,0.0,0.0,29.3,0,0,12987,934,804,3,248.74,45.3
